run,year,number_f1,number_f2,number_f3,number_m1,number_m2,number_m3,vacancies_3,vacancies_2,vacancies_1,prom1,prom2,gender_proportion_overall,unfilled_vacancies,department_size,f_hire_3,m_hire_3,f_hire_2,m_hire_2,f_hire_1,m_hire_1,f_prom_3,m_prom_3,f_prom_2,m_prom_2,f_prom_1,m_prom_1,hiring_rate_women_1,hiring_rate_women_2,hiring_rate_women_3,hiring_rate_men_1,hiring_rate_men_2,hiring_rate_men_3,attrition_rate_women_1,attrition_rate_women_2,attrition_rate_women_3,attrition_rate_men_1,attrition_rate_men_2,attrition_rate_men_3,probablity_of_outside_hire_1,probability_of_outside_hire_2,probability_of_outside_hire_3,female_promotion_rate_1,female_promotion_rate_2,male_promotion_rate_1,male_promotion_rate_2,dept_size_upperbound,dept_size_lowerbound,dept_size_exogenous_variation_range,duration,model_name
0.0,0.0,3.0,3.0,2.0,11.0,12.0,43.0,8.31,5.9,5.3,0.06,0.19,0.11,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Model 3 Forecast Growth - 3 year moving average
0.0,1.0,4.0,3.0,2.0,14.0,9.0,42.0,4.0,3.0,0.0,0.06,0.19,0.14,0.0,74.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.12,0.05,0.03,0.6,0.08,0.12,0.06,0.0,0.07,0.07,0.06,0.04,1.0,1.0,1.0,0.06,0.19,0.06,0.11,84.0,64.0,3.0,12.0,Model 3 Forecast Growth - 3 year moving average
0.0,2.0,3.0,2.0,3.0,17.0,8.0,41.0,1.0,2.0,3.0,0.06,0.19,0.12,0.0,74.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12,0.05,0.03,0.6,0.08,0.12,0.06,0.0,0.07,0.07,0.06,0.04,1.0,1.0,1.0,0.06,0.19,0.06,0.11,84.0,64.0,3.0,12.0,Model 3 Forecast Growth - 3 year moving average
0.0,3.0,4.0,1.0,4.0,19.0,9.0,39.0,3.0,3.0,3.0,0.06,0.19,0.13,2.0,76.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,2.0,0.12,0.05,0.03,0.6,0.08,0.12,0.06,0.0,0.07,0.07,0.06,0.04,1.0,1.0,1.0,0.06,0.19,0.06,0.11,84.0,64.0,3.0,12.0,Model 3 Forecast Growth - 3 year moving average
0.0,4.0,4.0,1.0,4.0,19.0,9.0,39.0,1.0,2.0,1.0,0.06,0.19,0.13,0.0,76.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12,0.05,0.03,0.6,0.08,0.12,0.06,0.0,0.07,0.07,0.06,0.04,1.0,1.0,1.0,0.06,0.19,0.06,0.11,86.0,66.0,3.0,12.0,Model 3 Forecast Growth - 3 year moving average
0.0,5.0,4.0,1.0,4.0,21.0,9.0,38.0,1.0,1.0,1.0,0.06,0.19,0.13,1.0,77.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12,0.05,0.03,0.6,0.08,0.12,0.06,0.0,0.07,0.07,0.06,0.04,1.0,1.0,1.0,0.06,0.19,0.06,0.11,90.0,70.0,3.0,12.0,Model 3 Forecast Growth - 3 year moving average
0.0,6.0,5.0,0.0,6.0,25.0,10.0,40.0,3.0,2.0,4.0,0.06,0.19,0.15,9.0,86.0,1.0,4.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,0.0,2.0,0.12,0.05,0.03,0.6,0.08,0.12,0.06,0.0,0.07,0.07,0.06,0.04,1.0,1.0,1.0,0.06,0.19,0.06,0.11,99.0,79.0,3.0,12.0,Model 3 Forecast Growth - 3 year moving average
0.0,7.0,6.0,0.0,5.0,25.0,10.0,39.0,3.0,1.0,3.0,0.06,0.19,0.15,1.0,85.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.12,0.05,0.03,0.6,0.08,0.12,0.06,0.0,0.07,0.07,0.06,0.04,1.0,1.0,1.0,0.06,0.19,0.06,0.11,96.0,76.0,3.0,12.0,Model 3 Forecast Growth - 3 year moving average
0.0,8.0,7.0,0.0,5.0,27.0,10.0,40.0,2.0,1.0,4.0,0.06,0.19,0.16,4.0,89.0,0.0,3.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12,0.05,0.03,0.6,0.08,0.12,0.06,0.0,0.07,0.07,0.06,0.04,1.0,1.0,1.0,0.06,0.19,0.06,0.11,105.0,85.0,3.0,12.0,Model 3 Forecast Growth - 3 year moving average
0.0,9.0,5.0,1.0,5.0,25.0,12.0,43.0,1.0,2.0,6.0,0.06,0.19,0.14,2.0,91.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,0.12,0.05,0.03,0.6,0.08,0.12,0.06,0.0,0.07,0.07,0.06,0.04,1.0,1.0,1.0,0.06,0.19,0.06,0.11,103.0,83.0,3.0,12.0,Model 3 Forecast Growth - 3 year moving average
0.0,10.0,6.0,2.0,5.0,24.0,11.0,44.0,1.0,4.0,4.0,0.06,0.19,0.16,1.0,92.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.12,0.05,0.03,0.6,0.08,0.12,0.06,0.0,0.07,0.07,0.06,0.04,1.0,1.0,1.0,0.06,0.19,0.06,0.11,99.0,79.0,3.0,12.0,Model 3 Forecast Growth - 3 year moving average
0.0,11.0,5.0,2.0,3.0,24.0,9.0,46.0,3.0,2.0,3.0,0.06,0.19,0.13,3.0,89.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.12,0.05,0.03,0.6,0.08,0.12,0.06,0.0,0.07,0.07,0.06,0.04,1.0,1.0,1.0,0.06,0.19,0.06,0.11,94.0,74.0,3.0,12.0,Model 3 Forecast Growth - 3 year moving average
1.0,0.0,3.0,3.0,2.0,11.0,12.0,43.0,8.31,5.9,5.3,0.06,0.19,0.11,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Model 3 Forecast Growth - 3 year moving average
1.0,1.0,3.0,3.0,2.0,10.0,11.0,45.0,1.0,1.0,1.0,0.06,0.19,0.12,0.0,74.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.03,0.6,0.08,0.12,0.06,0.0,0.07,0.07,0.06,0.04,1.0,1.0,1.0,0.06,0.19,0.06,0.11,84.0,64.0,3.0,12.0,Model 3 Forecast Growth - 3 year moving average
