year,mpct_f1,spct_f1,mpct_f2,spct_f2,mpct_f3,spct_f3,mpct_m1,spct_m1,mpct_m2,spct_m2,mpct_m3,spct_m3,pf1_025,pf1_975,pf2_025,pf2_975,pf3_025,pf3_975,pm1_025,pm1_975,pm2_025,pm2_975,pm3_025,pm3_975
0.0,0.214,0.0,0.2,0.0,0.044,0.0,0.786,0.0,0.8,0.0,0.956,0.0,0.214,0.214,0.2,0.2,0.044,0.044,0.786,0.786,0.8,0.8,0.956,0.956
1.0,0.213,0.049,0.198,0.056,0.055,0.015,0.787,0.049,0.802,0.056,0.945,0.015,0.122,0.31,0.071,0.308,0.023,0.087,0.69,0.878,0.692,0.929,0.913,0.977
2.0,0.201,0.066,0.203,0.079,0.062,0.021,0.799,0.066,0.797,0.079,0.938,0.021,0.083,0.325,0.067,0.364,0.021,0.102,0.675,0.917,0.636,0.933,0.898,0.979
3.0,0.195,0.073,0.203,0.083,0.068,0.023,0.805,0.073,0.797,0.083,0.932,0.023,0.059,0.316,0.081,0.375,0.022,0.108,0.684,0.941,0.625,0.919,0.892,0.978
4.0,0.2,0.069,0.21,0.097,0.077,0.026,0.8,0.069,0.79,0.097,0.923,0.026,0.083,0.333,0.0,0.383,0.023,0.126,0.667,0.917,0.617,1.0,0.874,0.977
5.0,0.196,0.072,0.213,0.111,0.084,0.03,0.804,0.072,0.787,0.111,0.916,0.03,0.059,0.35,0.0,0.417,0.04,0.143,0.65,0.941,0.583,1.0,0.857,0.96
6.0,0.189,0.076,0.227,0.121,0.09,0.031,0.811,0.076,0.773,0.121,0.91,0.031,0.046,0.34,0.0,0.5,0.04,0.142,0.66,0.954,0.5,1.0,0.858,0.96
7.0,0.187,0.066,0.231,0.124,0.097,0.037,0.813,0.066,0.769,0.124,0.903,0.037,0.075,0.308,0.0,0.5,0.031,0.167,0.692,0.925,0.5,1.0,0.833,0.969
8.0,0.188,0.07,0.235,0.116,0.104,0.04,0.812,0.07,0.765,0.116,0.896,0.04,0.074,0.328,0.032,0.5,0.028,0.186,0.672,0.926,0.5,0.968,0.814,0.972
9.0,0.185,0.074,0.226,0.114,0.109,0.038,0.815,0.074,0.774,0.114,0.891,0.038,0.068,0.339,0.064,0.414,0.04,0.182,0.661,0.932,0.586,0.936,0.818,0.96
10.0,0.188,0.069,0.222,0.108,0.111,0.039,0.812,0.069,0.778,0.108,0.889,0.039,0.073,0.333,0.032,0.45,0.043,0.192,0.667,0.927,0.55,0.968,0.808,0.957
11.0,0.187,0.07,0.229,0.119,0.112,0.041,0.813,0.07,0.771,0.119,0.888,0.041,0.068,0.336,0.0,0.45,0.043,0.184,0.664,0.932,0.55,1.0,0.816,0.957
